,centile_count,centile
126,11,102366138.7903
127,12,103172171.3792
128,13,103978203.9681
129,15,104784236.557
130,12,105590269.1459
131,12,106396301.7348
132,6,107202334.3237
133,11,108008366.9126
134,15,108814399.5015
135,11,109620432.0904
136,13,110426464.6793
137,13,111232497.2682
138,7,112038529.8571
139,9,112844562.446
140,9,113650595.0349
141,14,114456627.6238
142,6,115262660.2127
143,9,116068692.8016
144,8,116874725.3905
145,5,117680757.9794
146,16,118486790.5683
147,8,119292823.1572
148,6,120098855.7461
149,12,120904888.335
150,12,121710920.9239
151,9,122516953.5128
152,6,123322986.1017
153,7,124129018.6906
154,8,124935051.2795
155,5,125741083.8684
156,7,126547116.45729999
157,10,127353149.04619999
158,4,128159181.63509999
159,7,128965214.22399999
160,5,129771246.81289999
161,6,130577279.40179999
162,10,131383311.99069999
163,3,132189344.57959999
164,6,132995377.16849999
165,5,133801409.75739999
166,8,134607442.3463
167,6,135413474.9352
168,6,136219507.5241
169,5,137025540.113
170,8,137831572.7019
171,6,138637605.2908
172,5,139443637.8797
173,8,140249670.4686
174,9,141055703.0575
175,9,141861735.6464
176,6,142667768.2353
177,9,143473800.8242
178,5,144279833.4131
179,7,145085866.002
180,6,145891898.5909
181,4,146697931.1798
182,2,147503963.7687
183,11,148309996.3576
184,3,149116028.9465
185,4,149922061.5354
186,4,150728094.1243
187,4,151534126.7132
188,3,152340159.3021
189,10,153146191.891
190,4,153952224.4799
191,6,154758257.0688
192,7,155564289.6577
193,3,156370322.2466
194,4,157176354.8355
195,5,157982387.4244
196,3,158788420.0133
197,3,159594452.6022
198,2,160400485.1911
199,3,161206517.78
200,6,162012550.3689
201,2,162818582.9578
202,2,163624615.5467
203,2,164430648.1356
204,3,165236680.7245
205,5,166042713.3134
206,8,166848745.9023
207,4,167654778.4912
208,3,168460811.0801
209,3,169266843.669
210,2,170072876.2579
211,3,170878908.8468
212,2,171684941.4357
213,7,172490974.0246
214,6,173297006.6135
215,5,174103039.2024
216,5,174909071.7913
217,5,175715104.3802
218,5,176521136.9691
219,5,177327169.558
220,4,178133202.1469
221,3,178939234.7358
222,5,179745267.3247
223,2,180551299.9136
224,4,181357332.5025
225,3,182163365.0914
226,3,182969397.6803
227,3,183775430.2692
228,2,184581462.8581
229,2,185387495.447
230,4,186193528.0359
231,7,186999560.6248
232,3,187805593.2137
233,3,188611625.8026
234,2,189417658.3915
235,2,190223690.9804
236,6,191029723.5693
237,2,191835756.1582
238,2,192641788.7471
239,2,193447821.336
240,4,194253853.9249
241,3,195059886.5138
242,4,195865919.1027
243,6,196671951.6916
244,1,197477984.2805
245,3,198284016.8694
246,3,199090049.4583
247,1,199896082.0472
248,3,200702114.6361
249,2,201508147.225
250,3,202314179.8139
251,4,203120212.4028
252,1,203926244.9917
253,3,204732277.5806
254,4,205538310.1695
255,6,206344342.7584
256,1,207150375.3473
257,3,207956407.9362
258,2,208762440.5251
259,7,209568473.114
260,4,210374505.7029
261,4,211180538.2918
262,0,211986570.8807
263,0,212792603.4696
264,3,213598636.0585
265,4,214404668.6474
266,2,215210701.2363
267,1,216016733.8252
268,3,216822766.4141
269,3,217628799.003
270,4,218434831.5919
271,3,219240864.1808
272,5,220046896.7697
273,1,220852929.3586
274,5,221658961.9475
275,6,222464994.5364
276,0,223271027.1253
277,1,224077059.7142
278,3,224883092.3031
279,4,225689124.892
280,2,226495157.4809
281,0,227301190.0698
282,2,228107222.6587
283,4,228913255.2476
284,2,229719287.8365
285,2,230525320.4254
286,1,231331353.0143
287,0,232137385.6032
288,1,232943418.1921
289,2,233749450.781
290,2,234555483.3699
291,2,235361515.9588
292,1,236167548.5477
293,3,236973581.1366
294,2,237779613.7255
295,1,238585646.3144
296,3,239391678.9033
297,1,240197711.4922
298,3,241003744.0811
299,2,241809776.67
300,1,242615809.2589
301,3,243421841.8478
302,1,244227874.4367
303,2,245033907.0256
304,3,245839939.6145
305,1,246645972.2034
306,4,247452004.7923
307,2,248258037.3812
308,3,249064069.9701
309,3,249870102.559
310,0,250676135.1479
311,2,251482167.7368
312,2,252288200.32569999
313,2,253094232.91459998
314,3,253900265.50349998
315,1,254706298.09239998
316,1,255512330.68129998
317,2,256318363.27019998
318,2,257124395.85909998
319,3,257930428.44799998
320,1,258736461.03689998
321,1,259542493.62579998
322,0,260348526.21469998
323,3,261154558.80359998
324,2,261960591.39249998
325,2,262766623.98139998
326,1,263572656.57029998
327,1,264378689.15919998
328,0,265184721.74809998
329,1,265990754.33699998
330,1,266796786.92589998
331,1,267602819.51479998
332,4,268408852.10369998
333,1,269214884.6926
334,1,270020917.2815
335,0,270826949.8704
336,1,271632982.4593
337,1,272439015.0482
338,2,273245047.6371
339,1,274051080.226
340,1,274857112.8149
341,1,275663145.4038
342,2,276469177.9927
343,2,277275210.5816
344,2,278081243.1705
345,0,278887275.7594
346,0,279693308.3483
347,2,280499340.9372
348,1,281305373.5261
349,1,282111406.115
350,0,282917438.7039
351,4,283723471.2928
352,2,284529503.8817
353,3,285335536.4706
354,1,286141569.0595
355,1,286947601.6484
356,1,287753634.2373
357,1,288559666.8262
358,1,289365699.4151
359,1,290171732.004
360,0,290977764.5929
361,2,291783797.1818
362,3,292589829.7707
363,0,293395862.3596
364,1,294201894.9485
365,2,295007927.5374
366,0,295813960.1263
