,weight_2022,citax_2022,Net_Income_2022,weight_ref_2022,citax_ref_2022,Net_Income_ref_2022,weight_ref_2023,citax_ref_2023,Net_Income_ref_2023,weight_ref_2024,citax_ref_2024,Net_Income_ref_2024,weight_ref_2025,citax_ref_2025,Net_Income_ref_2025,weight_ref_2026,citax_ref_2026,Net_Income_ref_2026,weight_ref_2027,citax_ref_2027,Net_Income_ref_2027,weight_ref_2028,citax_ref_2028,Net_Income_ref_2028,weight_ref_2029,citax_ref_2029,Net_Income_ref_2029,weight_ref_2030,citax_ref_2030,Net_Income_ref_2030,ETR,ETR_ref
31,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,"1,337.0000",10.0000,78.0000,0.1282,0.1282
32,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,"1,338.0000",11.0000,81.0000,0.1358,0.1358
33,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,"1,337.0000",12.0000,84.0000,0.1429,0.1429
34,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,"1,338.0000",13.0000,88.0000,0.1477,0.1477
35,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,"1,337.0000",14.0000,92.0000,0.1522,0.1522
36,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,"1,338.0000",15.0000,96.0000,0.1562,0.1562
37,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,"1,337.0000",16.0000,100.0000,0.1600,0.1600
38,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,"1,338.0000",16.0000,103.0000,0.1553,0.1553
39,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,"1,337.0000",17.0000,106.0000,0.1604,0.1604
40,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,"1,338.0000",18.0000,110.0000,0.1636,0.1636
